"","Subject.Code","learner"
"1","060416_1m_9y","good"
"2","031117_1f_9y","good"
"3","022517_1f_9y","good"
"4","091617_2f_10y","good"
"5","060418_2m_11y","good"
"6","072117_1f_11y","good"
"7","062916_2m_11y","good"
"8","062918_1m_12y","good"
"9","030918_2m_13y","good"
"10","062317_1m_13y","good"
"11","060617_1m_13y","good"
"12","102916_1m_14y","good"
"13","080317_2f_14y","good"
"14","032617_2f_14y","good"
"15","060416_4f_14y","good"
"16","102216_1f_14y","good"
"17","062916_1f_14y","good"
"18","102316_1f_14y","good"
"19","030918_3f_15y","good"
"20","071517_3m_15y","good"
"21","102016_1m_15y","good"
"22","090917_1m_15y","good"
"25","030918_1f_8y","poor"
"28","061517_1f_8y","poor"
"36","072117_2f_9y","poor"
"40","070918_2f_10y","poor"
"41","040817_1f_10y","poor"
"42","062217_1m_10y","poor"
"43","070518_1f_10y","poor"
"46","080416_1m_11y","poor"
"47","062017_2f_11y","poor"
"48","061317_1f_11y","poor"
"50","070918_1f_12y","poor"
"51","031318_1m_12y","poor"
"52","111216_2m_12y","poor"
"53","080317_3f_12y","poor"
"54","101316_1f_12y","poor"
"55","031318_2f_12y","poor"
"56","060416_3f_13y","poor"
"57","101616_2m_13y","poor"
"58","060418_1f_13y","poor"
"59","101616_1f_14y","poor"
"60","040217_1f_14y","poor"
"61","032617_1f_15y","poor"
